title,company,location,posted_date,job_type,remote_option,salary_info,job_url,scraped_date
Praktikum Embedded-Firmware-Entwicklung – IO-Link Wireless Devices (SoSe 2026),,Teck,vor 13 Stunden,Vollzeit,Teilweise Home-Office,,https://www.stepstone.de/stellenangebote--Praktikum-Embedded-Firmware-Entwicklung-IO-Link-Wireless-Devices-SoSe-2026-Owen-bei-Kirchheim-Teck-Leuze-electronic-GmbH-Co-KG--13187846-inline.html,2025-11-11 16:40:20
Entwicklungsingenieur - Hardware für Bordnetzkomponenten (w/m/d),,München,vor 10 Stunden,Vollzeit,Teilweise Home-Office,,https://www.stepstone.de/stellenangebote--Entwicklungsingenieur-Hardware-fuer-Bordnetzkomponenten-w-m-d-Muenchen-MAN-Truck-Bus-Group--13186750-inline.html,2025-11-11 16:40:20
Category Manager (m/w/d) IT Hardware,,Kempten,vor 15 Stunden,Vollzeit,Teilweise Home-Office,,https://www.stepstone.de/stellenangebote--Category-Manager-m-w-d-IT-Hardware-Kempten-DACHSER-SE--13186394-inline.html,2025-11-11 16:40:20
Servicetechniker und IT-Liebhaber (m/w/d),,München,vor 9 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Servicetechniker-und-IT-Liebhaber-m-w-d-Muenchen-BWI-GmbH--13317774-inline.html,2025-11-11 16:40:20
Recruiter,,Berlin,vor 5 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Recruiter-Munich-Berlin-SKD-SE--13318416-inline.html,2025-11-11 16:40:20
(Senior) IT Techniker / Servicetechniker / Systemelektroniker (m/w/d),,Ingolstadt,vor 11 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Senior-IT-Techniker-Servicetechniker-Systemelektroniker-m-w-d-Ingolstadt-BWI-GmbH--13186716-inline.html,2025-11-11 16:40:21
Administrator/in IT-Sicherheit (m/w/d),,Office,vor 10 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Administrator-in-IT-Sicherheit-m-w-d-Koblenz-Miehlen-Home-Office-Netzwerkleute-Inh-Noah-Dressler--13317225-inline.html,2025-11-11 16:40:21
Junior IT Infrastructure Support (m/w/d),,Baunach,vor 46 Minuten,Vollzeit,Vor Ort,,https://www.stepstone.de/stellenangebote--Junior-IT-Infrastructure-Support-m-w-d-Baunach-Megger-Holding-Germany-GmbH-Co-KG--13319441-inline.html,2025-11-11 16:40:21
Projekt-/Bauleiter (m/w/d),,Rosenheim,vor 1 Stunde,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Projekt-Bauleiter-m-w-d-Rosenheim-Unterweger-Isolierungen-GmbH--13317928-inline.html,2025-11-11 16:40:21
Elektronikentwickler (m/w/d),,Freiburg,vor 1 Stunde,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Elektronikentwickler-m-w-d-Freiburg-Z-LASER-GmbH--13319098-inline.html,2025-11-11 16:40:21
Berater:in für die betriebliche Altersvorsorge (m/w/d) Bestandskunden in der Region Mittelhessen,,Alters,vor 5 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Berater-in-fuer-die-betriebliche-Altersvorsorge-m-w-d-Bestandskunden-in-der-Region-Mittelhessen-Mittelhessen-SV-SparkassenVersicherung--13187333-inline.html,2025-11-11 16:40:21
IT-Techniker / Servicetechniker / Systemelektroniker (m/w/d),,Wuppertal,vor 14 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--IT-Techniker-Servicetechniker-Systemelektroniker-m-w-d-Wuppertal-POSIFLEX-GmbH--13317797-inline.html,2025-11-11 16:40:21
Senior Multi-Agent Platform & Full-Stack Engineer (m/w/d),,Hamburg,vor 5 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Senior-Multi-Agent-Platform-Full-Stack-Engineer-m-w-d-Hamburg-MPC-Muenchmeyer-Petersen-Co-GmbH--13166839-inline.html,2025-11-11 16:40:21
Physiker:in (all genders) in der Applikation - optische Messtechnik,,Berlin,vor 10 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Physiker-in-all-genders-in-der-Applikation-optische-Messtechnik-Berlin-munerio-consulting-GmbH--12739415-inline.html,2025-11-11 16:40:21
Associate IT Expert Military IT - Logistik und IT-Technik (m/w/d),,Lohheide,vor 14 Stunden,Vollzeit,Vor Ort,,https://www.stepstone.de/stellenangebote--Associate-IT-Expert-Military-IT-Logistik-und-IT-Technik-m-w-d-Lohheide-BWI-GmbH--13188452-inline.html,2025-11-11 16:40:21
Senior Computer Vision Engineer (All Genders),,Munich,vor 6 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Senior-Computer-Vision-Engineer-All-Genders-Berlin-Munich-SKD-SE--13318434-inline.html,2025-11-11 16:40:22
