job_id,title,company,location,posted_date,job_url,description,seniority_level,employment_type,job_function,industries
,Senior Software Engineer,Microsoft,"Santa Clara, CA",2025-11-11,https://www.linkedin.com/jobs/view/senior-software-engineer-at-microsoft-4317523736?position=37&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=T0SLSfna1hYRrNNCE9kZkA%3D%3D,,,,,
,Sr. Staff Software Engineer - Power Management,Ambiq,"Austin, TX",2025-11-11,https://www.linkedin.com/jobs/view/sr-staff-software-engineer-power-management-at-ambiq-4317854129?position=38&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=UY4jOaBc8V1CAsUPoOHBtA%3D%3D,,,,,
,Senior Reset and Boot ASIC Engineer,NVIDIA,"California, United States",2025-11-11,https://www.linkedin.com/jobs/view/senior-reset-and-boot-asic-engineer-at-nvidia-4308140845?position=39&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=L8un6%2FjWvthzZ5hr%2B5Gfqw%3D%3D,,,,,
,"Senior Performance Software Engineer, Deep Learning Libraries",NVIDIA,"Hillsboro, OR",2025-11-11,https://www.linkedin.com/jobs/view/senior-performance-software-engineer-deep-learning-libraries-at-nvidia-4317534689?position=40&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=tkRZuO8kM8TNGxvC%2BfMUkw%3D%3D,,,,,
,Senior Space C++ Software Engineer,CFD Research Corporation,"Huntsville, AL",2025-11-11,https://www.linkedin.com/jobs/view/senior-space-c%2B%2B-software-engineer-at-cfd-research-corporation-4335385431?position=41&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=FEzOUA6SDcZjb7foK2cXuA%3D%3D,,,,,
,Senior Cyber Embedded Software Engineer,Motorola Solutions,"Schaumburg, IL",2025-11-11,https://www.linkedin.com/jobs/view/senior-cyber-embedded-software-engineer-at-motorola-solutions-4306654481?position=42&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=Wv5h3Fs6%2Fq4k%2FTHQCES69A%3D%3D,,,,,
,"Senior Performance Software Engineer, Deep Learning Libraries",NVIDIA,"Durham, NC",2025-11-11,https://www.linkedin.com/jobs/view/senior-performance-software-engineer-deep-learning-libraries-at-nvidia-4317534690?position=43&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=azr8%2BE7DlRS%2Bm6c8%2BaI4Sg%3D%3D,,,,,
,Staff Software Engineer - Edtech Software Leader,Andiamo,"New York, NY",2025-11-11,https://www.linkedin.com/jobs/view/staff-software-engineer-edtech-software-leader-at-andiamo-4306634188?position=44&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=OAowf3g1%2FaX9Pp52yI7SOA%3D%3D,,,,,
,"Systems Engineer, Senior",CGI,"Arlington, VA",2025-11-11,https://www.linkedin.com/jobs/view/systems-engineer-senior-at-cgi-4317526590?position=45&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=Az0rJZPR1IPBUK01LgXChA%3D%3D,,,,,
,Advanced Emergency Medical Technician,Town of Hamburg EMS,"Hamburg, NY",2025-11-11,https://www.linkedin.com/jobs/view/advanced-emergency-medical-technician-at-town-of-hamburg-ems-4335505294?position=46&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=i%2BydFH%2FzYPleUiQqmRHZHQ%3D%3D,,,,,
